,hwu64_id,utterance,true_intent,scenario,dataset,predicted_intent,confidence
26,1789,Can you tell me if I have any alarms set?,alarm:query,alarm,valid,alarm:query,0.9996678233146667
27,886,What alarms will wake me up tomorrow?,alarm:query,alarm,test,alarm:query,0.992529273033142
28,565,How many alarms are listed?,alarm:query,alarm,test,alarm:query,0.9994164109230042
29,6852,Are there any alarms set? What are they?,alarm:query,alarm,train_ms,alarm:query,0.9990553855895996
30,904,My alarms,alarm:query,alarm,test,alarm:query,0.9843150973320008
31,5682,What days are my alarms set for,alarm:query,alarm,train_nlu,alarm:query,0.9997681975364684
32,887,Are there any alarms set right now?,alarm:query,alarm,train_nlu,alarm:query,0.9992369413375854
33,5818,check if default alarm is set,alarm:query,alarm,valid,alarm:query,0.9976324439048768
34,5810,is there any alarm after 5 am,alarm:query,alarm,test,alarm:query,0.9961134791374208
35,47,Tell me about my alarms,alarm:query,alarm,train_ms,alarm:query,0.9994081854820251
36,512,do I have an alarm set,alarm:query,alarm,test,alarm:query,0.9778369069099426
37,4570,What is wake up time?,alarm:query,alarm,valid,alarm:query,0.9005401730537415
38,182,Do I have any alarms,alarm:query,alarm,test,alarm:query,0.999586820602417
39,6322,TELL ME IF MY ALARM IS SET FOR THE MORNING?,alarm:query,alarm,test,alarm:query,0.99420827627182
40,2359,when is the neat alaram,alarm:query,alarm,train_nlu,alarm:query,0.9980006814002992
41,2962,Would you please check to see if I've set my alarm for tomorrow morning,alarm:query,alarm,train_ms,alarm:query,0.9429566264152528
42,6376,Please let me know the morning alarm time kept for Weekends,alarm:query,alarm,valid,alarm:query,0.9939742088317872
43,1788,Are there any alarms going off today?,alarm:query,alarm,train_nlu,alarm:query,0.999402642250061
44,6557,"Tap Start, and then select Settings.",alarm:query,alarm,test,nlu_fallback,0.3
45,4589,Let me know the alarm time.,alarm:query,alarm,test,alarm:query,0.9995366930961608
46,2683,Please check alarms,alarm:query,alarm,valid,alarm:query,0.9947536587715148
47,4571,is there an alarm at 4 am?,alarm:query,alarm,valid,alarm:set,0.9414726495742798
48,3669,What time is my alarm set for?,alarm:query,alarm,train_nlu,alarm:query,0.9986442923545836
49,1546,let me see my alarms PDA.,alarm:query,alarm,test,alarm:query,0.9990002512931824
50,5329,"Hey Google, tell me what alarms are set for me.",alarm:query,alarm,valid,alarm:query,0.9973081946372986
51,1547,what alarms do I have PDA?,alarm:query,alarm,valid,alarm:query,0.9992859363555908
52,1599,Review the alarms I have,alarm:query,alarm,test,alarm:query,0.9978893995285034
53,1776,What times do my alarms go off?,alarm:query,alarm,test,alarm:query,0.9995900988578796
54,1095,Is my school alarm set?,alarm:query,alarm,test,alarm:query,0.9829453825950624
55,5816,check if any alarm is there after 5am,alarm:query,alarm,valid,alarm:query,0.9998391270637512
56,6820,Tell me about the alarm timings.,alarm:query,alarm,train_nlu,alarm:query,0.999831199645996
57,3469,do I have any alarms set for 6 am tomorrow?,alarm:query,alarm,train_nlu,alarm:query,0.9994624257087708
58,4165,tell me about alarms,alarm:query,alarm,train_ms,alarm:query,0.9994134902954102
59,5250,What alarms do I all have set,alarm:query,alarm,valid,alarm:query,0.9997648596763612
60,1598,what alarms did I set,alarm:query,alarm,train_ms,alarm:query,0.999910295009613
61,4569,Which alarms are set in the phone?,alarm:query,alarm,train_nlu,alarm:query,0.9998784065246582
62,4975,what alarm do i have set for today,alarm:query,alarm,train_nlu,alarm:query,0.9990869164466858
63,1738,Check whether I have set any alarms for tomorrow morning,alarm:query,alarm,train_ms,alarm:query,0.9989280700683594
64,3455,What time is my wakeup alarm set for?,alarm:query,alarm,test,alarm:query,0.9951977729797364
65,834,confirm alarm for tomorrow morning,alarm:query,alarm,train_ms,alarm:query,0.8296135663986206
66,46,Please list active alarms,alarm:query,alarm,test,alarm:query,0.8898213505744934
67,5480,Is my alarm set?,alarm:query,alarm,train_ms,alarm:query,0.9717170596122742
68,3173,olly tell me my alarms,alarm:query,alarm,valid,alarm:query,0.9991442561149596
69,6960,Let me know about the alarms you set,alarm:query,alarm,valid,alarm:query,0.9985074400901794
70,5101,<All alarms>,alarm:query,alarm,test,alarm:query,0.7906113266944885
71,7117,What home alarms have been set?,alarm:query,alarm,valid,alarm:query,0.9982152581214904
72,4164,list alrams,alarm:query,alarm,train_nlu,alarm:query,0.999912977218628
73,7118,Are there any alarms currently set.,alarm:query,alarm,train_nlu,alarm:query,0.9997737407684326
74,331,Please tell me my alarms,alarm:query,alarm,valid,alarm:query,0.9895614981651306
75,5149,Show me the alarms I've set.,alarm:query,alarm,valid,alarm:query,0.9992679357528688
76,2682,Alarm Status,alarm:query,alarm,train_ms,alarm:query,0.9095361828804016
77,668,i need to set an alarm how many do i have set,alarm:query,alarm,valid,alarm:query,0.9965345859527588
78,2963,How many alarms do I have set for morning hours between 6 and 9 am,alarm:query,alarm,train_ms,alarm:query,0.9948108792304992
79,4088,Google find any alarms I have set for today.,alarm:query,alarm,valid,alarm:query,0.9997463822364808
80,4087,What alarms are set for this week Echo.,alarm:query,alarm,train_ms,alarm:query,0.9995914101600648
81,4784,Please read out all the alarms that are set.,alarm:query,alarm,test,alarm:query,0.9930654764175416
82,5074,Can you tell me about the alarm called 'Bed'?,alarm:query,alarm,valid,alarm:remove,0.6288507580757141
83,3175,Do I have alarms set ?,alarm:query,alarm,valid,alarm:query,0.9998332262039183
84,3471,what alarms have i set for tomorrow,alarm:query,alarm,train_ms,alarm:query,0.9998058676719666
85,835,what time is the alarm set for tomorrow?,alarm:query,alarm,valid,alarm:query,0.9975749850273132
86,3126,How many alarms have I set?,alarm:query,alarm,train_nlu,alarm:query,0.9999130368232728
87,4560,"Just to confirm, you set the alarm to go off at 8:00?",alarm:query,alarm,valid,alarm:set,0.9977232813835144
88,3353,next alarm,alarm:query,alarm,train_ms,alarm:query,0.8151543736457825
89,4588,What time have you set the alarm?,alarm:query,alarm,test,alarm:query,0.9997780323028564
90,6096,"PDA, What alarms do you have set?",alarm:query,alarm,train_nlu,alarm:query,0.9997539520263672
91,3456,Do I have any alarms for tomorrow morning?,alarm:query,alarm,train_ms,alarm:query,0.9982596039772034
92,1883,Checkout today alarm of meeting.,alarm:query,alarm,train_ms,alarm:query,0.9582263827323914
93,4587,What alarm time had you set?,alarm:query,alarm,train_ms,alarm:query,0.9967325925827026
94,5100,<List all of my alarms>,alarm:query,alarm,train_nlu,alarm:query,0.99627023935318
95,4598,Do I currently have any alarms set?,alarm:query,alarm,valid,alarm:query,0.9997503757476808
96,3948,What are the next three alarms set to go off?,alarm:query,alarm,train_nlu,alarm:query,0.9997994899749756
97,1353,PDA how many alarms do I have?,alarm:query,alarm,train_nlu,alarm:query,0.9994016885757446
98,4976,what time will my alarm wake me up,alarm:query,alarm,train_ms,alarm:query,0.9991449117660522
99,5681,What times are my alarms set for,alarm:query,alarm,train_nlu,alarm:query,0.9997323751449584
100,5635,"Echo, remove my bedtime alarm",alarm:remove,alarm,train_nlu,alarm:remove,0.9999465942382812
101,6301,ibset a ararl can you turn it off?,alarm:remove,alarm,test,audio:volume_mute,0.7974782586097717
102,5054,Set off this alarm,alarm:remove,alarm,valid,alarm:remove,0.9644253849983216
103,879,stop wake-up calls for this week,alarm:remove,alarm,train_nlu,alarm:remove,0.9999505281448364
104,3775,remove the latest alarm,alarm:remove,alarm,valid,alarm:remove,0.9998527765274048
105,1285,cancel my 3pm alarm,alarm:remove,alarm,train_ms,alarm:remove,0.9996426105499268
106,4336,"Kickball is over, I do not need the alarm for kickball on Wednesday evening, any longer.",alarm:remove,alarm,train_ms,alarm:query,0.6775795817375183
107,4472,"Olly, get rid of my current alarms.",alarm:remove,alarm,test,alarm:query,0.8673161268234253
108,3894,Take off my alarms,alarm:remove,alarm,valid,alarm:remove,0.9925671219825744
109,1820,Remove Tuesday alarm of 9.00 a. m.,alarm:remove,alarm,valid,alarm:remove,0.9984073042869568
110,5288,Do not wake me up on weekends.,alarm:remove,alarm,train_ms,alarm:set,0.7913156151771545
111,6950,Could you please remove the set of alarms between 8 and 9?,alarm:remove,alarm,train_ms,alarm:remove,0.9994718432426452
112,180,Remove the alarm,alarm:remove,alarm,valid,alarm:remove,0.9999101161956788
113,5796,"Siri, cancel yoga alarms",alarm:remove,alarm,train_nlu,alarm:remove,0.9999266862869264
114,968,please delete my morning alarm,alarm:remove,alarm,test,alarm:remove,0.9974533915519714
115,3893,Turn off my alarms,alarm:remove,alarm,train_ms,alarm:remove,0.9794809818267822
116,2395,turn off my alarm,alarm:remove,alarm,test,alarm:remove,0.9990170001983644
117,5052,Disable the alarm at xx:xx am/pm,alarm:remove,alarm,train_ms,alarm:remove,0.9568468332290648
118,5287,Do not wake me up tomorrow.,alarm:remove,alarm,valid,alarm:set,0.9482434391975404
119,967,remove my morning alarm,alarm:remove,alarm,train_nlu,alarm:remove,0.9998942017555236
120,179,Delete the alarm I just set,alarm:remove,alarm,valid,alarm:remove,0.9961564540863036
121,44,Stop 7am alarm,alarm:remove,alarm,train_ms,alarm:remove,0.9867011308670044
122,3459,delete my 6 am alarm,alarm:remove,alarm,valid,alarm:remove,0.9991322159767152
123,6186,Remove all alarm of sunday,alarm:remove,alarm,test,alarm:remove,0.9997479319572448
124,3295,Delete scheduled alarm,alarm:remove,alarm,train_ms,alarm:remove,0.6820048689842224
125,1259,1PM REMOVED 1AM SET,alarm:remove,alarm,test,calendar:remove,0.6549678444862366
126,4681,Snooze all today's alarms permanently.,alarm:remove,alarm,valid,alarm:query,0.99740469455719
127,5053,Cancel the alarm at xx:yy am/pm,alarm:remove,alarm,test,alarm:remove,0.999543845653534
128,2397,change my alarm,alarm:remove,alarm,test,alarm:query,0.986434519290924
129,5811,remove alarm if any,alarm:remove,alarm,train_ms,alarm:remove,0.9999654293060304
130,386,Disable the first alarm,alarm:remove,alarm,valid,alarm:query,0.7043032646179199
131,8902,remove tomorrow's alarm,alarm:remove,alarm,test,alarm:remove,0.9994053840637208
132,5136,Teach children to never answer the door when home alone.,alarm:remove,alarm,valid,email:sendemail,0.4106384217739105
133,1255,2AM REMOVED 4PM SET,alarm:remove,alarm,test,calendar:remove,0.6253844499588013
134,2396,snooze,alarm:remove,alarm,valid,qa:definition,0.9812655448913574
135,6302,will you turn the alarm off for me?,alarm:remove,alarm,train_nlu,alarm:remove,0.99964040517807
136,3566,cancel all alarms,alarm:remove,alarm,train_nlu,alarm:remove,0.9993838667869568
137,6821,Reset the alarm.,alarm:remove,alarm,train_ms,alarm:remove,0.9998774528503418
138,5570,Turn off all alarms,alarm:remove,alarm,train_ms,alarm:remove,0.99749493598938
139,6300,can you please remove the alarm,alarm:remove,alarm,valid,alarm:remove,0.9997200965881348
140,1929,turn off the alarm,alarm:remove,alarm,train_nlu,alarm:remove,0.9982603192329408
141,3371,This alarm needs to be permanently silenced.,alarm:remove,alarm,train_ms,alarm:remove,0.9786219596862792
142,1056,Delete my alarm for 8am,alarm:remove,alarm,train_ms,alarm:remove,0.9957888126373292
143,4894,Get rid of my wake up alarm set for Saturday.,alarm:remove,alarm,test,alarm:set,0.5658167004585266
144,1283,disable alarm for 3PM,alarm:remove,alarm,test,alarm:remove,0.9999749660491944
145,3182,Please remove any alarms that I have set.,alarm:remove,alarm,train_nlu,alarm:remove,0.9997958540916444
146,7184,Delete alarm.,alarm:remove,alarm,train_ms,alarm:remove,0.998977541923523
147,1821,Remove 6 a. m. alarm of whole week for future.,alarm:remove,alarm,test,alarm:remove,0.9999482035636902
148,3595,remove alarms set for tomorrow,alarm:remove,alarm,valid,alarm:remove,0.9999608993530272
149,3294,Remove set alarm,alarm:remove,alarm,train_ms,alarm:remove,0.9999388456344604
150,3460,clear my 9 am alarms,alarm:remove,alarm,train_nlu,alarm:remove,0.9994975924491882
151,3594,remove all alarms,alarm:remove,alarm,train_ms,alarm:remove,0.999958634376526
152,5636,"Echo, remove Finlee's bedtime alarm",alarm:remove,alarm,train_ms,alarm:remove,0.9999669790267944
153,1058,Please turn off my alarm for this evening,alarm:remove,alarm,train_ms,alarm:remove,0.9882872104644777
154,5286,Cancel my alarm for tomorrow morning.,alarm:remove,alarm,train_ms,alarm:remove,0.9846230149269104
155,4335,Please delete the Wednesday evening alarm.,alarm:remove,alarm,train_nlu,alarm:remove,0.9996975660324096
156,1819,Remove alarm of 7.30 a.m. on monday,alarm:remove,alarm,train_nlu,alarm:remove,0.9998528957366944
157,1565,Change the alarm weekly settings,alarm:remove,alarm,train_ms,alarm:remove,0.9943418502807616
158,3369,Please remove this alarm,alarm:remove,alarm,train_ms,alarm:remove,0.9992209672927856
159,878,cancel wake-up calls for this week,alarm:remove,alarm,train_nlu,alarm:remove,0.9998452663421632
160,6231,Get rid of the 5 pm alarm.,alarm:remove,alarm,test,alarm:remove,0.9995900988578796
161,1564,remove the alarm for tomorrow,alarm:remove,alarm,test,alarm:remove,0.9995980262756348
162,4680,Disable all alarms set for today.,alarm:remove,alarm,train_ms,alarm:query,0.5832066535949707
163,877,remove wake-up calls for this week,alarm:remove,alarm,valid,alarm:remove,0.9998000264167786
164,940,Turn off the alarm for tomorrow morning,alarm:remove,alarm,valid,alarm:remove,0.8825000524520874
165,3181,Please cancel all alarms for tomorrow.,alarm:remove,alarm,train_nlu,alarm:remove,0.9997124671936036
166,3180,Cancel the alarm that is set for tomorrow at 8 am.,alarm:remove,alarm,valid,alarm:set,0.9072415232658386
167,942,Turn off any morning alarms after Friday,alarm:remove,alarm,test,alarm:remove,0.7644392848014832
168,4239,I no longer need the daily 5pm alarm.,alarm:remove,alarm,train_nlu,alarm:remove,0.999932050704956
169,6568,unset all alarm which is seted,alarm:remove,alarm,train_ms,alarm:query,0.9994717240333556
170,4470,"Olly, remove all of my alarms.",alarm:remove,alarm,train_ms,alarm:remove,0.999743103981018
171,6188,Remove alarm of 6 AM on Tuesday.,alarm:remove,alarm,train_nlu,alarm:remove,0.9999572038650512
172,5795,"Siri, cancel alarms",alarm:remove,alarm,test,alarm:remove,0.9997734427452089
173,3568,cancel alarm for 03/10/2017,alarm:remove,alarm,train_ms,alarm:set,0.9345468282699584
174,5569,Take away my alarm for [date : tomorrow] at 4:30am,alarm:remove,alarm,train_nlu,alarm:remove,0.9998887777328492
175,6229,Remove 7am alarm.,alarm:remove,alarm,valid,alarm:remove,0.9998983144760132
176,5817,remove all alarms if any,alarm:remove,alarm,test,alarm:remove,0.9997525215148926
177,3351,reset alarm,alarm:remove,alarm,train_nlu,alarm:remove,0.999928653240204
178,5135,Ask them to remember always to lock the door and keep a careful watch on their keys.,alarm:remove,alarm,valid,alarm:remove,0.6815870404243469
179,3596,remove all alarms set today,alarm:remove,alarm,train_ms,alarm:remove,0.9999587535858154
180,6567,disable the alarm which is set at 9:30pm,alarm:remove,alarm,test,nlu_fallback,0.3
181,7185,Forget alarm.,alarm:remove,alarm,train_ms,nlu_fallback,0.3
182,387,Delete the first aarm,alarm:remove,alarm,test,alarm:remove,0.9142204523086548
183,42,Cancel my 7am alarm,alarm:remove,alarm,train_ms,alarm:remove,0.9993003606796264
184,3458,remove my early alarms,alarm:remove,alarm,train_nlu,alarm:remove,0.9999648332595824
185,5510,Remove my 6 am alarm,alarm:remove,alarm,train_ms,alarm:remove,0.9999380111694336
186,941,Turn off the 6AM alarm for Wednesday,alarm:remove,alarm,valid,alarm:remove,0.9578747749328612
187,987,phones,alarm:remove,alarm,valid,email:querycontact,0.6808480024337769
188,1284,disable my 3PM alarm,alarm:remove,alarm,train_nlu,alarm:remove,0.999966561794281
189,5511,remove my 8 pm alarm and set it to 7 pm,alarm:remove,alarm,train_nlu,alarm:remove,0.9999549984931946
190,4237,I need to delete the alarm for church on Sundays at 11am.,alarm:remove,alarm,test,alarm:remove,0.9846020340919496
191,569,Cancel my 8AM alarm,alarm:remove,alarm,test,alarm:remove,0.9990537762641908
192,969,please remove my alarm,alarm:remove,alarm,valid,alarm:remove,0.9998117089271544
193,6230,Delete my 8 pm alarm.,alarm:remove,alarm,valid,alarm:remove,0.9997251629829408
194,5634,"Echo, remove my work alarm",alarm:remove,alarm,train_ms,alarm:remove,0.9991093277931212
195,5137,Show them where the keys to internal locks are located in case they have to exit your home quickly.,alarm:remove,alarm,train_nlu,alarm:remove,0.9998871088027954
196,570,Get rid of my 8AM alarm,alarm:remove,alarm,train_nlu,alarm:remove,0.9999085664749146
197,3892,Turn off all of my alarms,alarm:remove,alarm,valid,alarm:remove,0.9862680435180664
198,988,personal data assistants,alarm:remove,alarm,train_nlu,alarm:remove,0.999855637550354
199,4334,Please remove the alarm set for Wednesday called kickball.,alarm:remove,alarm,valid,alarm:remove,0.9999563097953796
200,1007,I want the alarm set for six.,alarm:set,alarm,valid,alarm:set,0.9954806566238404
201,9658,Wake me up at 5 Am every morning,alarm:set,alarm,train_ms,alarm:set,0.9901692867279052
202,3490,"PDA, please set an alarm for 7:30 AM tomorrow.",alarm:set,alarm,test,alarm:set,0.9998693466186525
203,1866,Set alarm of every Tuesday of march month morning 8 a. m.,alarm:set,alarm,train_ms,nlu_fallback,0.3
204,2886,Set the alarm for two hours from now,alarm:set,alarm,train_ms,alarm:set,0.8274865746498108
205,9556,will set alarm clock one hour before my next dentist appointment?,alarm:set,alarm,valid,alarm:remove,0.7457206845283508
206,5581,Turn on an alarm for 3:30pm today,alarm:set,alarm,test,alarm:remove,0.7607690691947937
207,3463,I need to get going at 8am tomorrow. Set up an alarm 30 minutes before that.,alarm:set,alarm,valid,alarm:set,0.9482473134994508
208,6492,Alarm 10 AM,alarm:set,alarm,train_nlu,alarm:set,0.9715521335601808
209,619,I want to wake up at 6:00 am tomorrow please,alarm:set,alarm,train_ms,alarm:set,0.9975766539573668
210,10239,set alarm for saturday,alarm:set,alarm,train_nlu,alarm:set,0.9983043670654296
211,4489,volume check,alarm:set,alarm,test,general:confirm,0.8471823334693909
212,5390,Wake me up at 6:30,alarm:set,alarm,valid,alarm:set,0.9985412359237672
213,5778,Create an alarm for 6am,alarm:set,alarm,train_ms,alarm:remove,0.9216066002845764
214,5293,"Set an alarm for tomorrow, Monday at 8am",alarm:set,alarm,valid,alarm:remove,0.5975533127784729
215,3560,set alarm for noon tomorrow,alarm:set,alarm,train_nlu,alarm:set,0.9973214864730836
216,2358,wake me up,alarm:set,alarm,train_nlu,alarm:set,0.9806743860244752
217,610,start alarm,alarm:set,alarm,test,alarm:set,0.8670438528060913
218,4077,Google set my alarm to go off in an hour.,alarm:set,alarm,train_ms,alarm:set,0.9802629947662354
219,8862,repeat alarm,alarm:set,alarm,train_ms,alarm:remove,0.9934553503990172
220,6138,set alarm for morning 6,alarm:set,alarm,test,alarm:set,0.9516817927360536
221,6323,Please set an alarm at 4.00 am [date : tomorrow],alarm:set,alarm,train_nlu,alarm:set,0.9970749020576476
222,991,set my alarm please,alarm:set,alarm,test,nlu_fallback,0.3
223,929,Set alarm for 8 am,alarm:set,alarm,train_ms,alarm:set,0.9986308813095092
224,6726,Set an alarm in an hour's time,alarm:set,alarm,test,alarm:set,0.9270886778831482
225,2522,set alarm for 12 weeks from today at 8am,alarm:set,alarm,test,alarm:set,0.9203516244888306
226,2181,set alarm at 6:30 a.m,alarm:set,alarm,test,alarm:set,0.9996752738952636
227,540,Set an alarm for 9 AM.,alarm:set,alarm,valid,alarm:set,0.9998800158500672
228,4811,Set an alarm for ten o'clock tomorrow morning.,alarm:set,alarm,valid,alarm:set,0.9973853826522828
229,6043,update alarm,alarm:set,alarm,test,alarm:query,0.7385762333869934
230,8247,set an alarm for 2 hours from now please,alarm:set,alarm,train_ms,alarm:set,0.9980428218841552
231,9961,Remind me two hours before 6pm that I have to wake up at 4 am friday morning,alarm:set,alarm,valid,alarm:set,0.939947545528412
232,10473,make an alarm for fridays meeting at 10am,alarm:set,alarm,train_ms,alarm:set,0.8853991031646729
233,7094,"Olly, alert me at ten a.m., please.",alarm:set,alarm,train_nlu,alarm:set,0.9997543692588806
234,5270,Set an alarm for 5 am,alarm:set,alarm,train_nlu,alarm:set,0.9998803734779358
235,3638,I need an alarm for <insert time> can you please set one for me,alarm:set,alarm,train_nlu,alarm:set,0.9165632724761964
236,2767,Set an alarm for time,alarm:set,alarm,train_ms,alarm:set,0.8679138422012329
237,3530,Wake me up at this time,alarm:set,alarm,valid,alarm:set,0.9556393623352052
238,3492,"PDA, Set an 8:00 AM alarm for next Tuesday.",alarm:set,alarm,train_ms,alarm:set,0.99964702129364
239,5271,Please set an alarm for 10 pm,alarm:set,alarm,valid,alarm:set,0.9642423987388612
240,5392,Olly set the Alarm,alarm:set,alarm,train_nlu,alarm:set,0.9773767590522766
241,2426,set an alarm,alarm:set,alarm,train_ms,alarm:set,0.9978073835372924
242,5479,Set an alarm for 5 minutes from now.,alarm:set,alarm,valid,alarm:set,0.9998015761375428
243,1198,set alarm at 5:30 am,alarm:set,alarm,train_nlu,alarm:set,0.9998860359191896
244,2834,Need an alarm set for Sunday at 5 in the morning,alarm:set,alarm,train_nlu,alarm:set,0.9891799688339232
245,10270,set an alert for 2pm,alarm:set,alarm,test,alarm:set,0.9987274408340454
246,10543,put alarm for this meeting,alarm:set,alarm,valid,alarm:set,0.5633314251899719
247,3963,set up an alarm clock at 1pm,alarm:set,alarm,train_ms,alarm:set,0.9922428727149964
248,7035,Open Clock,alarm:set,alarm,test,audio:volume_up,0.8677988052368164
249,6877,PLEASE SET ALARM FOR ALL DAYS,alarm:set,alarm,test,alarm:set,0.8353443741798401
250,5272,Can you set an alarm for 7 am?,alarm:set,alarm,train_nlu,alarm:set,0.999806821346283
251,4160,set an alarm for me for tomorrow,alarm:set,alarm,test,alarm:set,0.9978315234184264
252,3713,At 7am tomorrow morning ring the alarm,alarm:set,alarm,valid,alarm:query,0.7460649013519287
253,2578,Set alarm for 6:00 a.m. tomorrow.,alarm:set,alarm,train_ms,alarm:set,0.999083936214447
254,5478,Set an alarm for 8pm.,alarm:set,alarm,train_nlu,alarm:set,0.9997451901435852
255,5582,Set an alarm for 5am [date : tomorrow] morning,alarm:set,alarm,train_nlu,alarm:set,0.9993542432785034
256,4813,I need to get up at ten tomorrow.,alarm:set,alarm,valid,takeaway:order,0.5520429015159607
257,5275,remind me at 5pm,alarm:set,alarm,train_nlu,alarm:set,0.9991636276245116
258,8514,Set the alarm to 7 am for work,alarm:set,alarm,test,alarm:set,0.9964199662208556
259,9660,Set a reminder i need to wake up at 5 Am every morning,alarm:set,alarm,train_ms,calendar:set,0.68295818567276
260,6491,wake me at 7 am,alarm:set,alarm,train_ms,alarm:set,0.999772310256958
261,4154,Get me up at 8 AM.,alarm:set,alarm,test,audio:volume_up,0.9132499098777772
262,3821,remind me at 13:00,alarm:set,alarm,train_nlu,alarm:set,0.9996916651725768
263,6283,Set my alarm for 6am,alarm:set,alarm,test,alarm:set,0.6384848356246948
264,4947,Alert me at 2:30.,alarm:set,alarm,train_ms,alarm:set,0.9930747151374816
265,2832,Set an alarm for tomorrow morning at 8,alarm:set,alarm,test,alarm:set,0.9996955394744872
266,3848,Is my alarm set for 7:00 am?,alarm:set,alarm,valid,alarm:set,0.9982346296310424
267,1,wake me up at 9am on Friday,alarm:set,alarm,train_nlu,alarm:set,0.998831868171692
268,7095,"Olly, open alarm and create an alert for ten a.m.",alarm:set,alarm,valid,alarm:set,0.9985278844833374
269,542,I need a reminder alarm at 1:00p.,alarm:set,alarm,train_ms,alarm:set,0.9992077946662904
270,4540,I want to set an alarm when I'm driving home tomorrow to remember to stop at the store and get food.,alarm:set,alarm,train_ms,nlu_fallback,0.3
271,5762,please create a new alarm,alarm:set,alarm,valid,alarm:remove,0.994990885257721
272,5840,set a alarm for the day,alarm:set,alarm,train_nlu,alarm:set,0.990918517112732
273,621,please ring the wake up alarm at 8 am next saturday,alarm:set,alarm,test,alarm:set,0.9940691590309144
274,4076,Echo I want an alarm for 3:00 today.,alarm:set,alarm,valid,alarm:set,0.9994980096817015
275,3536,set alarm for 6 am everyday,alarm:set,alarm,test,alarm:set,0.9974403381347656
276,2887,Set an alarm for 1 hour from now,alarm:set,alarm,valid,alarm:set,0.9993324875831604
277,6725,Wake me up at 6 o'clock [date : tomorrow] morning,alarm:set,alarm,train_nlu,alarm:set,0.9998072981834412
278,1765,Set the time,alarm:set,alarm,test,nlu_fallback,0.3
279,4438,Please set an alarm at 6 am.,alarm:set,alarm,train_ms,alarm:set,0.9997277855873108
280,612,change alarm to start at,alarm:set,alarm,train_nlu,alarm:set,0.9957420229911804
281,1006,Set my alarm for 6:30 in the morning tomorrow,alarm:set,alarm,test,alarm:set,0.9971176385879515
282,545,set an alarm for 1pm,alarm:set,alarm,valid,alarm:set,0.9963085055351256
283,4397,Can you set an alarm for me?,alarm:set,alarm,test,alarm:set,0.9967572689056396
284,5690,confirm that the alarm is set for [date : tomorrow],alarm:set,alarm,train_nlu,alarm:set,0.9912487864494324
285,4159,please set an alarm for me 9a,alarm:set,alarm,valid,alarm:set,0.9972385168075562
286,82,set an alarm 40 minutes from now,alarm:set,alarm,train_nlu,alarm:set,0.999758243560791
287,407,make me a wake up alarm for 8:45am,alarm:set,alarm,train_nlu,alarm:set,0.999684751033783
288,6876,PLEASE SET ALARAM FOR TODAY,alarm:set,alarm,train_nlu,alarm:set,0.9923505783081056
289,5318,The set alarm for 9pm on Thursday night.,alarm:set,alarm,train_ms,alarm:set,0.996330738067627
290,2769,Alarm set for time,alarm:set,alarm,train_nlu,alarm:query,0.7041061520576477
